topic,rank,title,link,snippet
1,1,COMPM052 - Information Retrieval and Data Mining,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,Learning Outcomes                            Students are expected to master both the theoretical and practical  aspects of information retrieval and data mining. 
1,2,COMPM052 - Information Retrieval and Data Mining,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m052_information_retrieval_and_data_mining/,Learning Outcomes                            Students are expected to master both the theoretical and practical  aspects of information retrieval and data mining. 
1,3,COMPGI15 - Information Retrieval & Data Mining,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi15_information_retrieval_data_mining/,Learning Outcomes                            Students are expected to master both the theoretical and practical  aspects of information retrieval and data mining. 
1,4,Graduate Programme in Data Science for Research in Health & Biomedicine,http://www.ucl.ac.uk/chime/study/data-science,Postgraduate Certificate students                        complete four core modules:                                     Principles of Health Data Science                           Statistics for Epidemiology & Public Health                           Statistical Methods in Epidemiology                           Data Management for Health Records Research                                                  Postgraduate Diploma students                        add one further core module:                                     Applications of Electronic Health Records Research                                     and select three optional modules from the following:                                     Database systems                           Information Retrieval & Data Mining                           Principles of Health Informatics                           Understanding Bioinformatics Resources & Their Application                           Statistics for Interpreting Genetic Data                           Shared Care & Electronic Health Records                           Advanced Statistics for Records Research                                                  MSc students                        complete the postgraduate diploma programme with the addition of a Dissertation in Health Data Science in which they undertake a substantial research project in health data science under the supervision of a UCL academic.                                   
1,5,Graduate Programme in Data Science for Research in Health & Biomedicine,http://www.ucl.ac.uk/silva/chime/study/data-science,Postgraduate Certificate students                        complete four core modules:                                     Principles of Health Data Science                           Statistics for Epidemiology & Public Health                           Statistical Methods in Epidemiology                           Data Management for Health Records Research                                                  Postgraduate Diploma students                        add one further core module:                                     Applications of Electronic Health Records Research                                     and select three optional modules from the following:                                     Database systems                           Information Retrieval & Data Mining                           Principles of Health Informatics                           Understanding Bioinformatics Resources & Their Application                           Statistics for Interpreting Genetic Data                           Shared Care & Electronic Health Records                           Advanced Statistics for Records Research                                                  MSc students                        complete the postgraduate diploma programme with the addition of a Dissertation in Health Data Science in which they undertake a substantial research project in health data science under the supervision of a UCL academic.                                   
1,6,Graduate Programme in Data Science for Research in Health & Biomedicine,http://www.ucl.ac.uk/silva/chime/study/data-science/,Postgraduate Certificate students                        complete four core modules:                                     Principles of Health Data Science                           Statistics for Epidemiology & Public Health                           Statistical Methods in Epidemiology                           Data Management for Health Records Research                                                  Postgraduate Diploma students                        add one further core module:                                     Applications of Electronic Health Records Research                                     and select three optional modules from the following:                                     Database systems                           Information Retrieval & Data Mining                           Principles of Health Informatics                           Understanding Bioinformatics Resources & Their Application                           Statistics for Interpreting Genetic Data                           Shared Care & Electronic Health Records                           Advanced Statistics for Records Research                                                  MSc students                        complete the postgraduate diploma programme with the addition of a Dissertation in Health Data Science in which they undertake a substantial research project in health data science under the supervision of a UCL academic.                                   
1,7,About and Contact,http://www.ucl.ac.uk/big-data/bdi/about,Much focus has been placed on the application of Big Data methods to mine large data sets (often for information they were not designed to deliver). 
1,8,About and Contact,http://www.ucl.ac.uk/big-data/bdi/about/,Much focus has been placed on the application of Big Data methods to mine large data sets (often for information they were not designed to deliver). 
1,9,Research Staff,http://www.ucl.ac.uk/big-data/bdi/research-staff,"Her main interests are information retrieval and applications of information theory, statistics and machine learning. "
1,10,Research Staff,http://www.ucl.ac.uk/big-data/bdi/research-staff/,"Her main interests are information retrieval and applications of information theory, statistics and machine learning. "
1,11,MSc Data Science,http://www.cs.ucl.ac.uk/degrees/msc_ds/,Core Modules                                                                                                                      Information Retrieval & Data Mining                                                                                                                                   Information Retrieval & Data Mining                                                                                The course is aimed at an entry level study of information retrieval and data mining techniques. 
1,12,MSc Web Science and Big Data Analytics,http://www.cs.ucl.ac.uk/degrees/msc_wsbda/,Students are expected to master both the theoretical and practical aspects of information retrieval and data mining.                                                           
1,13,[Invited talk] Utilizing Query Change for Session Search – Cancelled « UCL Media Futures Group,http://mediafutures.cs.ucl.ac.uk/blog/invited-talk-utilizing-query-change-for-session-search/,"Grace?s current research interests include session search, search engine evaluation, privacy-preserving information retrieval, and information organization. "
1,14,Projects | Dr. Jun Wang,http://web4.cs.ucl.ac.uk/staff/jun.wang/blog/teaching/projects/,"Financial data mining Online materials:                     Data mining                    ,                     Teaching Financial Data Mining                    ,                     Data Mining for Financial Applications                    .                             5. "
